,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_greenspace_loc,closest_metro_direct,closest_metro_loc
1384,2024-04-26,Townhouse,5123 7th St NW,Washington,DC,20011.0,735000.0,3.0,3.5,Petworth,1536.0,1367.0,1927.0,0.0,38.9526585,-77.0218991,0.29018363354234705,"(38.950859623063884, -77.01946796667475)",1.6982115641622124,"(38.9520825, -77.0022744)"
1385,2024-05-10,Townhouse,775 Kennedy St NE,Washington,DC,20011.0,665000.0,4.0,3.5,Riggs Park,1496.0,2094.0,1951.0,0.0,38.9570914,-76.9946648,0.4626329022598161,"(38.95961302469534, -76.99892060493342)",0.8620772766552948,"(38.9520825, -77.0022744)"
1386,2024-04-12,Condo/Co-op,5200 North Capitol St NW #203,Washington,DC,20011.0,244000.0,2.0,1.0,PETWORTH,800.0,,1940.0,585.0,38.9537064,-77.0094129,0.17393708195928434,"(38.95427303333334, -77.0112878)",0.6431501066711779,"(38.9520825, -77.0022744)"
1387,2024-05-24,Townhouse,5074 8th St NE,Washington,DC,20017.0,620000.0,3.0,3.0,Riggs Park,1456.0,2439.0,1947.0,0.0,38.951992,-76.9941754,0.32365921157498384,"(38.952392782420475, -76.99788264106985)",0.7004190351667008,"(38.9520825, -77.0022744)"
1388,2024-04-30,Townhouse,6036 Sligo Mill Rd NE,Washington,DC,20011.0,455000.0,3.0,1.0,Takoma,1416.0,2882.0,1947.0,0.0,38.9641404,-77.0066169,0.2665401721331764,"(38.96185597219881, -77.00568304263402)",1.3923603681009231,"(38.9520825, -77.0022744)"
1389,2024-05-08,Townhouse,761 Kennedy St NE,Washington,DC,20011.0,637500.0,3.0,2.5,Riggs Park,1632.0,2838.0,1951.0,0.0,38.9571062,-76.9950329,0.436689704712562,"(38.95961302469534, -76.99892060493342)",0.8391293945560795,"(38.9520825, -77.0022744)"
1390,2024-05-15,Townhouse,605 Tuckerman St NW,Washington,DC,20011.0,476000.0,3.0,1.5,Brightwood,1100.0,1789.0,1929.0,0.0,38.9674831,-77.0215083,0.2325945936860572,"(38.96603405000001, -77.01956805)",0.9070238924951287,"(38.9750301, -77.0175271)"
1391,2024-03-08,Townhouse,624 Madison St NE,Washington,DC,20011.0,407000.0,3.0,1.5,Riggs Park,1504.0,3293.0,1951.0,0.0,38.9581115,-76.9979557,0.18664651083564424,"(38.95961302469534, -76.99892060493342)",0.7673869487500151,"(38.9520825, -77.0022744)"
1392,2024-05-03,Townhouse,5121 3rd St NW,Washington,DC,20011.0,740000.0,4.0,3.5,Petworth,1827.0,1561.0,1936.0,0.0,38.9528962,-77.0156913,0.13605139564023622,"(38.95387911438465, -77.01475432169455)",1.1637180875845008,"(38.9520825, -77.0022744)"
1393,2024-06-04,Townhouse,3415 Mount Pleasant St NW,Washington,DC,20010.0,1435000.0,4.0,2.5,Mount Pleasant,2448.0,2209.0,1914.0,0.0,38.9346691,-77.0396983,0.027215085964723686,"(38.9345555, -77.039977)",0.8826008130684397,"(38.9285941, -77.0331312)"
