,LOCATION,PRICE,ZIP OR POSTAL CODE,TARGET_ENCODED_PRICE_5,TARGET_ENCODED_PRICE_10,TARGET_ENCODED_PRICE_15,TARGET_ENCODED_PRICE_20,TARGET_ENCODED_PRICE_25,TARGET_ENCODED_PRICE_30,TARGET_ENCODED_PRICE_35,TARGET_ENCODED_PRICE_40,TARGET_ENCODED_PRICE_45,TARGET_ENCODED_PRICE_50
1065,Capitol Hill,675000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1066,R. L. A. SW,185000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1067,Fort Dupont Park,320000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1068,Capitol Hill,370000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1069,Deanwood,290000.0,20019.0,422817.8214285714,422817.8214285714,422817.8214285714,422817.8214285714,422817.8214285714,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1070,Old City 1,530000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1071,Old City 1,2585000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1072,R. L. A. SW,325000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1073,Barry Farms,549000.0,20020.0,423916.5,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1074,Capitol Hill,370000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1075,Hillcrest,225000.0,20020.0,457794.44444444444,457794.44444444444,457794.44444444444,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1076,Marshall Heights,484000.0,20019.0,344508.82352941175,344508.82352941175,344508.82352941175,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1077,Anacostia,280500.0,20020.0,437179.0833333333,437179.0833333333,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1078,Old City 1,622000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1079,Congress Heights,300000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1080,R. L. A. SW,295000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
