SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_metro_direct
2024-04-16,Townhouse,1802 Potomac Ave SE,Washington,DC,20003.0,1015000.0,3.0,3.5,Old City 1,1840.0,1474.0,1926.0,0.0,38.8833866,-76.9787427,0.9485536655430811,0.2915954152385576
2024-05-23,Townhouse,1965 S St SE,Washington,DC,20020.0,579000.0,4.0,3.5,Randle Heights,1558.0,3708.0,1938.0,0.0,38.8680533,-76.9752245,0.4590873118770238,1.658169122795862
2024-04-12,Single Family Residential,1025 Cook Dr SE,Washington,DC,20032.0,750000.0,4.0,3.5,Randle Heights,3732.0,6650.0,2017.0,75.0,38.8438127,-76.9824202,1.0975972005226777,0.45394826642239017
2024-04-10,Townhouse,1433 S Carolina Ave SE,Washington,DC,20003.0,775000.0,3.0,1.5,Old City 1,1280.0,1200.0,1906.0,0.0,38.8867028,-76.984408,0.6034490199901793,0.6050010853424931
2024-05-16,Townhouse,318 S Carolina Ave SE,Washington,DC,20003.0,1160000.0,3.0,1.5,Capitol Hill,1448.0,1176.0,1909.0,0.0,38.8827771,-77.0013528,1.0097614492807532,0.485397331871267
2024-05-01,Condo/Co-op,1025 1st St SE #316,Washington,DC,20003.0,700000.0,2.0,2.0,Old City 1,1099.0,,2009.0,719.0,38.8776645,-77.0061079,1.2598586549195663,0.13329950474088073
2024-04-10,Townhouse,136 Kentucky Ave SE,Washington,DC,20003.0,1529000.0,4.0,3.5,Old City 1,2384.0,761.0,1926.0,0.0,38.8883631,-76.9887502,0.5834953238255988,0.7609351048595006
2024-04-05,Townhouse,606 E St SE,Washington,DC,20003.0,985000.0,2.0,2.0,Capitol Hill,1344.0,634.0,1900.0,0.0,38.8828795,-76.9980795,0.7262053752888376,0.234186678759567
2024-04-26,Townhouse,1510 Massachusetts Ave SE,Washington,DC,20003.0,650000.0,2.0,1.0,Old City 1,744.0,603.0,1922.0,0.0,38.8872236,-76.9831622,0.7234630765812141,0.5387988763374476
2024-04-12,Single Family Residential,2335 Q St SE,Washington,DC,20020.0,332000.0,3.0,2.0,Randle Heights,1528.0,4125.0,1905.0,0.0,38.8705541,-76.9717079,0.36315426568684345,1.630402247004911
2024-05-24,Single Family Residential,116 N Carolina Ave SE #302,Washington,DC,20003.0,377000.0,1.0,1.0,Capitol Hill,442.0,,1900.0,323.0,38.8840375,-77.0051435,0.7646328496179929,0.14659136441823492
2024-05-06,Single Family Residential,319 4th St SE,Washington,DC,20003.0,1350319.0,2.0,1.5,Capitol Hill,1877.0,2300.0,1890.0,0.0,38.884751,-77.000901,0.985559049654703,0.4264015547107651
2024-04-30,Single Family Residential,3219 6th St SE,Washington,DC,20032.0,455000.0,3.0,2.0,Congress Heights,1344.0,5318.0,1905.0,0.0,38.8422939,-76.9987656,0.5390411789361778,0.9779903023597138
2024-04-16,Townhouse,316 17th St SE,Washington,DC,20003.0,675000.0,4.0,1.0,Old City 1,1580.0,1882.0,1925.0,0.0,38.8847868,-76.9805429,0.8126081306330676,0.3174375118360818
2024-03-08,Townhouse,700 Chesapeake St SE,Washington,DC,20032.0,238000.0,3.0,1.5,Congress Heights,1543.0,2681.0,1952.0,0.0,38.829422,-76.996509,0.9780831731209326,1.8557169648481462
2024-05-10,Single Family Residential,2337 Chester St SE,Washington,DC,20020.0,409000.0,3.0,1.0,Anacostia,1700.0,3245.0,1917.0,0.0,38.8623552,-76.9884892,0.5251058633013617,0.5686719864074169
2024-04-23,Single Family Residential,4104 Martin Luther King Jr Ave SW,Washington,DC,20032.0,310000.0,3.0,2.0,Congress Heights,1732.0,6956.0,1941.0,0.0,38.8292638,-77.0120788,1.7471111348156545,2.7223057958417853
2024-03-18,Single Family Residential,704 Maury Ave,Oxon Hill,MD,20745.0,425000.0,4.0,2.0,GLASSMANOR,2613.0,6116.0,1956.0,0.0,38.8234668,-76.9975395,1.6459111412769714,2.502365046960991
2024-04-24,Townhouse,523 14th St SE,Washington,DC,20003.0,960000.0,2.0,2.5,Old City 1,1624.0,2067.0,1908.0,0.0,38.882205,-76.985916,0.34440293929880844,0.11849690483838227
2024-04-02,Townhouse,4005 E St SE,Washington,DC,20019.0,449000.0,3.0,2.0,Fort Dupont Park,1702.0,2550.0,1947.0,0.0,38.8826718,-76.9461892,0.9815502637102027,1.1440592327319858
2024-03-22,Condo/Co-op,1621 T St SE #4,Washington,DC,20020.0,380000.0,3.0,1.0,Randle Heights,1106.0,,2023.0,223.0,38.8671212,-76.9818802,0.7978763585043392,1.252281619544809
2024-04-05,Condo/Co-op,2636 Wade Rd SE #14,Washington,DC,20020.0,81500.0,2.0,1.0,Barry Farms,739.0,,1963.0,388.0,38.8591315,-76.9968198,0.40851574684984115,0.35727504156017736
2024-03-22,Condo/Co-op,1201 N Royal St #408,Alexandria,VA,22314.0,1603900.0,2.0,2.0,OLD TOWN ALEXANDRIA,1593.0,,2022.0,1465.0,38.8174228,-77.0403898,2.1864051150498574,1.2068925706863893
2024-05-14,Townhouse,325 17th St SE,Washington,DC,20003.0,780000.0,2.0,1.0,Old City 1,1116.0,1313.0,1922.0,0.0,38.8846756,-76.9810221,0.7694276281345289,0.36071201815665893
2024-05-29,Townhouse,1610 D St SE,Washington,DC,20003.0,805000.0,2.0,2.0,Old City 1,1188.0,1071.0,1906.0,0.0,38.8842769,-76.9817978,0.6948307879552972,0.4386466168310698
2024-05-13,Single Family Residential,1115 C St SE,Washington,DC,20003.0,1058500.0,3.0,1.5,Old City 1,1500.0,1583.0,1900.0,0.0,38.8858657,-76.9908589,0.31638983574583085,0.460608304086943
2024-03-22,Single Family Residential,2308 Ainger Pl SE,Washington,DC,20020.0,301000.0,3.0,2.0,Randle Heights,1664.0,14522.0,1948.0,0.0,38.8580094,-76.9730147,0.04043028172079576,1.8933213879826234
2024-04-26,Townhouse,1410 Carrollsburg Pl SW,Washington,DC,20024.0,725000.0,3.0,1.5,Old City 1,1400.0,1151.0,1978.0,0.0,38.8725637,-77.0097438,1.2182524332825633,0.43237372991141776
2024-03-08,Townhouse,1500 19th St SE,Washington,DC,20020.0,430000.0,4.0,2.5,Anacostia,1847.0,1217.0,1936.0,0.0,38.8718682,-76.9771293,0.15830795875121567,1.2128213166360213
2024-03-20,Condo/Co-op,1201 N Royal St #105,Alexandria,VA,22314.0,1570000.0,2.0,2.0,OLD TOWN ALEXANDRIA,1576.0,,2022.0,1466.0,38.8174228,-77.0403898,2.1864051150498574,1.2068925706863893
2024-03-29,Condo/Co-op,1435 4th St SW Unit B205,Washington,DC,20024.0,638000.0,2.0,2.0,R. L. A. SW,1244.0,,1965.0,1480.0,38.8722784,-77.018168,0.6628189049347297,0.3921607805307557
2024-04-09,Townhouse,1733 Independence Ave SE,Washington,DC,20003.0,1200000.0,4.0,3.5,Old City 1,2273.0,1634.0,1925.0,0.0,38.8873903,-76.9794874,0.9885325152927452,0.229883401757817
2024-04-22,Single Family Residential,1390 Morris Rd SE,Washington,DC,20020.0,328500.0,3.0,1.0,Anacostia,1512.0,10216.0,1900.0,0.0,38.8605409,-76.9882121,0.5849459443394666,0.6209127496058338
2024-05-20,Condo/Co-op,1310 Congress St SE #404,Washington,DC,20032.0,126000.0,1.0,1.0,Randle Heights,521.0,,1954.0,331.0,38.8422062,-76.9879327,0.7916111503405497,0.26670312394092555
2024-05-03,Townhouse,301 South Carolina Ave SE,Washington,DC,20003.0,1850000.0,4.0,3.5,Capitol Hill,2832.0,1755.0,1918.0,0.0,38.8820565,-77.001814,1.056006116731657,0.5032179271093795
2024-05-20,Townhouse,2103 Fort Davis St SE Unit B,Washington,DC,20020.0,265000.0,2.0,1.0,Hillcrest,1235.0,,1940.0,450.0,38.8638664,-76.9505935,0.5245045040835654,3.1578518072851454
2024-05-08,Single Family Residential,3412 Texas Ave SE,Washington,DC,20020.0,435000.0,3.0,1.5,Hillcrest,1924.0,6960.0,1938.0,0.0,38.8681274,-76.9557206,0.5707302046308768,2.684462207203985
2024-05-17,Single Family Residential,4911 Maury Pl,Oxon Hill,MD,20745.0,377000.0,4.0,3.0,GLASSMANOR,1683.0,6401.0,1955.0,0.0,38.8228029,-76.9966396,1.7129470860049059,2.5466537373197404
2024-03-11,Townhouse,1738 Potomac Ave SE,Washington,DC,20003.0,1062000.0,3.0,3.5,Old City 1,1868.0,1304.0,1924.0,0.0,38.8831668,-76.9792605,0.9034234699874124,0.3363021839651801
2024-03-25,Townhouse,4707 Bass Pl SE,Washington,DC,20019.0,410000.0,3.0,1.5,Marshall Heights,1186.0,1998.0,1946.0,0.0,38.8867832,-76.934665,0.11684597625044148,0.45772407220072636
